gender,rpi1_sc-118,rpi1_sc-111,rpi1_sc2,rpi1_sc32,rpi1_sc67,rpi1_sc106,rpi1_sc120,rpi1_sc121
1,725.8540,442.9865,128.0000,44.9444,34.9857,844.8727,536.4066,525.8983
1,721.6682,444.0833,128.0000,39.4081,47.5395,846.2913,534.5101,527.3604
1,736.7259,444.7674,128.0000,47.4236,39.6232,802.0281,549.1311,513.0653
1,742.9704,445.5334,128.0000,34.4819,39.8497,804.4899,552.7866,497.2907
1,723.1604,438.9260,128.0000,28.6356,42.2966,850.7156,538.7133,521.7279
1,721.4492,442.1640,128.0000,34.5398,42.7200,830.9284,540.4452,512.7192
1,712.5791,445.3369,128.0000,42.9535,43.0116,849.9423,541.4988,537.1349
1,709.8908,441.8110,128.0000,41.7732,45.5412,852.0475,534.9280,530.5035
1,429.9268,656.7450,128.0000,48.8774,77.6209,312.1602,310.8585,257.9632
1,722.3808,430.7111,128.0000,31.6228,38.8973,834.8203,543.8428,515.2718
1,734.9830,449.2349,128.0000,49.7393,35.9026,833.9598,541.0148,519.0617
1,712.0407,447.0045,128.0000,45.7056,42.7200,855.1783,532.4556,530.2952
1,714.2955,438.3206,128.0000,27.6586,43.8292,829.0024,535.5978,515.4047
1,731.7513,437.3214,128.0000,29.5296,44.2041,801.8884,546.0586,493.8522
1,718.1671,440.7199,128.0000,32.0624,47.4236,842.1502,537.3202,529.7707
1,709.5139,440.9592,128.0000,35.3553,47.4342,853.8256,529.0605,535.5231
1,739.4193,435.9908,128.0000,36.1248,48.5077,819.9121,545.8068,505.0881
1,719.1105,441.6786,128.0000,43.8292,36.6742,833.5767,538.9778,528.7343
1,724.3652,442.7641,128.0000,40.3609,44.9444,836.9594,533.4754,528.6218
1,734.6053,443.4975,128.0000,41.1947,43.8634,838.3752,545.7408,527.3708
1,714.3389,441.7432,128.0000,37.8021,38.0132,856.1805,535.0934,541.0703
1,727.4730,435.8738,128.0000,38.0000,36.4006,815.0981,546.7586,505.0802
1,722.1149,421.7404,128.0000,32.3883,38.2884,822.1052,534.6027,510.3303
1,724.8117,427.5161,128.0000,42.7200,36.0694,805.0150,538.5332,500.5637
1,724.2493,442.7641,128.0000,49.2544,43.1045,829.5450,545.1797,527.2457
1,717.7311,439.1104,128.0000,46.1736,45.2548,862.0748,529.2948,540.7587
1,707.7747,433.6646,128.0000,36.3456,47.7074,846.4160,526.4001,532.3692
1,743.3472,440.8379,128.0000,31.2410,38.0132,801.3719,550.4335,503.1143
1,716.7064,428.4308,128.0000,38.4187,37.3363,838.4748,533.0009,516.0823
1,728.6110,436.0000,128.0000,32.7567,41.5933,818.1840,540.9806,510.7103
1,1618.6537,903.6620,128.0000,6.0828,11.4018,57.6975,20.8087,37.3363
1,734.4420,437.9783,128.0000,40.4969,43.1741,794.9692,545.8067,500.7764
1,726.4186,441.1179,128.0000,47.6340,38.0526,836.9451,545.7481,530.6487
1,734.7612,422.5648,128.0000,35.5106,52.3927,807.6943,535.3363,506.6014
1,707.2461,433.0935,128.0000,46.3249,32.4500,845.4307,531.3474,535.5493
1,746.2292,441.0284,128.0000,50.9902,34.7851,813.1728,544.8018,504.5711
1,735.6392,441.3457,128.0000,49.0408,48.7032,804.3196,543.3231,505.2841
1,719.1565,433.1155,128.0000,34.0588,49.0306,818.1033,539.0148,509.2838
1,713.2216,428.6211,128.0000,37.6962,49.6790,840.8002,527.9868,534.3117
1,738.8911,428.6164,128.0000,30.2655,41.4005,805.5588,549.1021,492.0620
1,709.9753,429.4671,128.0000,37.9473,41.8808,856.8617,528.3938,537.2169
1,713.3302,431.8078,128.0000,40.7922,45.2769,833.6630,542.5606,515.7839
1,719.3365,433.2263,128.0000,37.3363,49.1630,856.7036,536.9515,524.6608
1,724.2465,429.7732,128.0000,50.0000,44.5533,843.1038,534.1479,534.0636
1,700.6068,440.8379,128.0000,43.1393,41.0000,838.0847,531.7452,536.6796
1,714.9944,422.6074,128.0000,29.1548,39.9249,855.6127,533.6900,530.5101
1,734.3249,435.2700,128.0000,43.5660,47.0106,809.0599,550.4362,513.9533
1,738.7564,427.2154,128.0000,39.2938,38.8973,800.4761,546.1108,503.0090
1,740.0169,433.8687,128.0000,46.0109,34.2053,807.6658,544.2812,513.0692
1,733.3873,440.5565,128.0000,47.0000,43.8634,814.7147,550.3908,507.0779
1,737.8787,422.1433,128.0000,28.0179,41.7253,806.3709,553.4013,502.3076
1,705.1951,442.2545,128.0000,30.5287,47.4342,814.5532,529.0690,509.9068
1,732.1339,437.8641,128.0000,46.5188,37.5766,822.2341,541.1663,517.8494
1,730.0685,423.2493,128.0000,36.0555,45.9674,837.7314,538.7588,514.4327
1,743.9637,426.8548,128.0000,38.1838,39.8246,793.9175,552.7838,501.3601
1,721.9973,430.4010,128.0000,47.2652,41.0122,830.7839,540.4961,525.9515
1,743.7486,429.1946,128.0000,37.5367,39.0512,823.0145,550.1536,518.4670
1,713.1795,425.9671,128.0000,50.3289,40.6079,845.6619,533.1642,531.4932
1,718.0564,428.9161,128.0000,43.8634,36.1386,855.3321,532.7936,536.3674
1,734.3194,423.0000,128.0000,31.5753,34.2345,815.3649,538.9778,494.2712
1,719.4421,431.7789,128.0000,48.3839,43.0465,837.6783,540.5849,530.4574
1,736.6689,433.1951,128.0000,35.7351,50.9215,842.2173,538.7114,531.0085
1,730.1048,432.0301,128.0000,41.3038,48.8262,845.1651,534.8130,529.2003
1,734.4147,429.5777,128.0000,41.0366,39.4462,789.0026,551.1125,500.9591
1,729.3319,426.5501,128.0000,34.9285,37.8550,803.4880,542.8591,518.8112
1,728.6700,426.9719,128.0000,40.7922,44.7772,834.1828,539.6072,520.7043
1,718.4108,419.3626,128.0000,28.3019,41.1096,850.6521,532.1729,529.2834
1,706.2018,422.4133,128.0000,44.9444,38.0789,843.0006,533.2204,533.4754
1,712.1749,413.7064,128.0000,36.1248,41.2311,842.4773,531.0292,528.4174
1,731.3857,428.7960,128.0000,39.6232,47.2017,833.6936,540.9482,527.8428
1,730.0007,427.9556,128.0000,50.1199,33.9411,810.6473,542.5541,518.3831
1,725.4247,422.1528,128.0000,50.0899,39.6232,830.7888,531.0461,526.3658
