gender,rpi1_sc-118,rpi1_sc-111,rpi1_sc2,rpi1_sc32,rpi1_sc67,rpi1_sc106,rpi1_sc120,rpi1_sc121
1,521.472,492.8976,128,38.2884,55.9464,1085.1179,693.6801,669.0209
1,397.3109,170.5579,128,143.9514,42.2019,422.0569,216.601,343.0015
1,480.0104,532.8884,128,35.8469,56.3027,1142.7905,626.5693,593.6548
1,533.4566,488.0349,128,42.0476,50.3289,1060.5376,688.3204,650.2492
1,532.5233,500.6815,128,48.6621,54.626,1070.5597,698.4512,653.9373
1,502.0329,482.5526,128,36.4006,45.4533,1083.8621,677.9852,666.6701
1,496.4967,474.7126,128,31.8277,50.8035,1081.129,680.895,666.7361
1,501.1237,477.2641,128,35.1141,53.7587,1082.8486,684.8445,668.7076
1,519.3534,482.8302,128,39.9249,49.98,1062.4618,694.2622,651.3555
1,489.1237,489.3598,128,47.7074,55.6597,1089.151,675.7404,670.7264
1,501.2704,473.8439,128,33.1059,51.9711,1093.5433,683.8392,677.0185
1,511.4528,490.3244,128,33.0606,52.3259,1095.1028,681.4631,675.314
1,531.3981,501.9651,128,40.1622,51.0392,1070.576,699.3154,660.4309
1,529.0605,496.529,128,47.4236,50.9902,1062.0306,694.6769,657.6055
1,519.0472,497.2927,128,41.3401,53.3385,1081.8003,688.9999,666.946
1,504.7901,484.125,128,36.8782,56.0803,1090.4871,682.6888,667.2219
1,521.8784,494.4896,128,35.8469,46.2709,1073.6499,689.6376,659.7098
1,498.8437,479.3517,128,38.4708,56.648,1079.9745,679.4005,669.8754
1,518.8112,483.8884,128,44.0454,44.9444,1071.0916,696.6104,657.3013
1,490.511,480.9834,128,37.4433,51.3517,1085.7744,683.4106,670.7682
1,496.4726,478.8027,128,30.8058,53,1084.327,677.9749,668.5844
1,530.6119,487.7838,128,34.0588,49.0408,1081.6617,693.0585,650.0623
1,531.4169,496.1452,128,42.2966,50.9313,1067.2919,692.4868,652.4515
1,511.8564,478.6,128,34.9285,53,1067.3668,693.4299,657.1583
1,534.813,494.9192,128,39.0512,49.0918,1074.4865,694.1412,650.0345
1,490.6985,485.4771,128,41.0488,56.0803,1088.7759,683.3915,675.1392
1,509.9745,485.0938,128,33.4216,50.4876,1067.6914,685.0548,658.0129
1,501.5695,476.8071,128,36.2353,51.788,1086.0166,677.0894,675.4058
1,525.3008,482.3578,128,39.3573,47.634,1068.3866,696.3475,657.7614
1,532.1137,491.0367,128,34.2345,47.0425,1067.0791,701.189,654.1223
1,499.1192,486.5604,128,45.4863,43.8634,1057.0089,681.4822,660.3401
1,506.1748,482.912,128,46.6154,54.231,1091.0042,688.8954,666.3392
1,541.2024,480.0771,128,30.8058,49.1935,1072.4197,696.3943,648.8959
1,529.0605,500.4448,128,44.4185,48.1041,1069.2288,697.7571,651.2542
1,530.348,497.2907,128,49.5782,48.1664,1063.1298,696.7847,651.8712
1,1582.2051,1389.5221,128,1,17.1172,36.2353,9,24.5967
1,504.6237,478.4987,128,28.7924,53.7587,1073.9949,688.6697,655.6905
1,506.9605,476.8113,128,38.0526,47,1072.8,694.5646,659.2731
1,497.003,485.8076,128,35.0143,52.7731,1082.4731,683.0204,671.8966
1,500.049,478.8288,128,35.4683,43.9659,1067.5065,681.9539,660.521
1,525.7604,498.271,128,47.0106,53.2541,1078.1062,682.1804,668.4265
1,494.2722,467.7713,128,33.2415,43.4166,1074.248,679.2996,662.5685
1,531.5948,496.529,128,41.2311,54.6443,1074.2439,692.3994,659.6969
1,514.799,481.5859,128,41.0487,48.2701,1066.4755,690.6989,655.6867
1,530.4536,474.0432,128,44.1022,52.0865,1044.7607,688.5383,650.6996
1,550.408,476.2153,128,43.6578,48.7545,1067.6971,692.2925,652.7059
1,506.5027,480.1541,128,38.6264,48.3839,1077.6924,692.0875,659.6302
1,520.9117,483.6383,128,26.9258,50.9902,1067.47,684.8014,648.9684
1,495.4049,486.585,128,38.4187,54.4059,1068.6855,688.6697,670.9337
1,517.4022,480.5424,128,38.0789,50.9313,1056.426,690.3115,659.11
1,530.9473,477.8159,128,47.0106,47.4236,1058.4181,686.7853,645.5858
1,503.0835,484.4843,128,29.9666,53.2353,1076.0464,682.6661,663.4131
1,519.7817,465.3182,128,35.4683,61,1091.0549,677.629,663.774
1,529.8726,497.8875,128,42.4264,50.448,1073.5535,694.2571,656.7108
1,499.7299,476.7777,128,29.5296,45.3542,1082.1848,685.4619,671.869
1,511.2387,485.2226,128,33.4216,47.1699,1067.097,696.4165,663.0272
1,523.4081,489.7438,128,46.6154,49.0408,1083.1035,683.3104,664.939
1,527.0038,496.397,128,41.3038,47.2017,1061.6233,695.4775,660.5528
1,495.6985,488.9683,128,45.0111,52.0865,1093.9877,679.3467,668.8146
1,491.3858,492.2195,128,40.8167,54.037,1084.0613,683.9656,677.0118
1,530.8644,497.0161,128,40.2244,47.0956,1063.6438,698.0157,649.3081
1,533.3489,490.4936,128,37.1618,47.2969,1055.9564,693.4119,647.2225
1,519.2302,488.9213,128,43.8292,48.3736,1077.8237,689.908,666.048
1,505.0149,474.9589,128,28.3196,44.7772,1078.3492,683.3447,667.4279
1,505.099,480.9834,128,30,52.345,1089.0514,689.0472,670.6251
1,507.7046,473.0919,128,38.6264,52,1083.0591,688.5499,668.5881
1,509.0197,484.7804,128,34.4819,47.1275,1069.239,692.5034,655.7964
1,511.9766,494.2924,128,40.3113,53.8238,1074.8861,688.8381,664.5517
1,534.7532,490.8115,128,36.4006,49.5782,1076.0227,701.4678,653.6436
1,530.4225,497.3017,128,41.2311,52.4309,1080.5712,690.6092,666.424
1,528.0805,497.6917,128,49.1935,48.5077,1065.5074,694.1016,654.6633
1,501.6304,484.9413,128,39.4588,53.6004,1068.7235,687.0262,663.5782
1,507.3421,484.6576,128,41.4849,52,1086.6775,681.7874,666.868
1,509.0982,485.2319,128,41.4367,46.2709,1063.5375,689.0145,653.1011
1,536.1231,491.2484,128,43.1741,51.6236,1061.6261,704.6652,659.8311
1,489.6121,487.155,128,48.0833,49.7293,1079.245,681.047,667.8278
1,513.9815,489.2954,128,40.3113,47.634,1073.7755,696.0208,657.5485
1,514.7446,488.1844,128,40.2492,48.3736,1088.9794,691.4659,659.6741
1,510.7142,491.5221,128,51.4781,50.8035,1092.2001,678.3016,669.0328
1,524.6837,495.5815,128,43.909,57.2713,1091.9569,694.7302,665.2436
1,522.6901,502.5475,128,40.025,53.4603,1073.0728,689.1633,664.9661
1,517.001,500.244,128,43.6578,52.0865,1071.6809,690.7923,667.1409
1,492.6866,491.7418,128,37.1214,51.1957,1088.5486,685.4035,676.5745
1,536.9879,499.1373,128,42.72,57.7062,1072.87,697.4475,659.003
1,496.1794,492.8783,128,43.566,55.9464,1072.7246,692.3843,668.6718
1,509.8833,487.2012,128,47.634,49.98,1064.9629,698.6401,655.1649
1,522.848,485.0835,128,39.6232,48.2597,1063.2841,696.8536,652.9387
1,509.4045,490.5966,128,41.4849,50,1077.3838,691.3936,671.5453
1,510.6124,485.5811,128,43.9659,52.8015,1088.0593,694.7719,674.4627
1,514.2811,482.6034,128,35.6931,58.5491,1098.4467,679.7978,672.2931
1,504.4799,480.0167,128,36.7967,47.0425,1074.6725,693.8941,657.2343
1,510.0667,487.3818,128,38,55.9464,1085.2032,687.4568,665.1443
1,508.4348,486.3106,128,36.0555,48.7647,1075.8383,694.8755,672.7526
1,530.5582,503.5911,128,51.225,54.1295,1065.5721,697.5679,658.1489
1,529.0463,501.0319,128,44.911,55.9732,1060.0873,695.7356,655.6866
1,526.2167,499.4327,128,51.0098,48.7955,1061.902,697.3894,659.728
1,530.3254,494.9717,128,46.0109,48.3322,1065.1459,698.459,659.0964
1,504.4482,482.8302,128,27.7309,55.109,1096.3083,688.767,669.1884
1,499.5248,477.5354,128,35.0143,46.6905,1081.2927,680.7584,662.6251
1,500.157,479.4705,128,36.8782,48.9183,1073.7882,682.7569,668.1077
1,507.3036,483.0373,128,36.6879,45.6508,1077.0037,693.1414,664.1927
1,532.1841,497.8534,128,47.7074,55,1075.5765,698.3301,657.0616
1,504.8019,483.8233,128,39.6232,46.6154,1064.553,686.8923,656.2469
1,503.6715,481.946,128,32.5576,49.4975,1085.4147,682.9825,673.9644
1,504.242,476.0179,128,32.8024,50.2494,1081.4037,689.4055,667.5754
1,529.6357,499.925,128,45.793,46.0977,1057.7334,694.1016,652.1917
1,486.2767,481.2619,128,45.1221,53.535,1068.1689,676.9025,671.9003
1,490.461,487.4095,128,36.7151,50.0899,1081.3593,677.4216,665.3796
1,525.5635,494.1458,128,37.4833,47.7074,1045.165,690.3984,646.0789
1,495.0252,490.9267,128,35.2278,50.6952,1080.6711,677.6467,671.3397
1,498.9639,492.0833,128,30.5941,53,1083.1547,678.3641,668.4138
1,525.4808,510.5693,128,45.3431,45.1774,1072.2928,686.3148,653.4233
1,510.392,485,128,33.3017,52.0096,1061.3694,693.618,657.946
1,495.3473,485.9897,128,29.8329,53.4883,1081.2474,691.8395,675.841
1,496.4776,483.3932,128,37.5766,53.3385,1076.4423,690.8668,667.863
1,492.5708,484.8639,128,38.3275,55.6597,1080.2268,688.2383,667.2286
1,496.4272,488.5786,128,38.833,53.1507,1083.6886,678.3303,670.3432
1,499.0641,478.5018,128,27.4591,46.5725,1082.6324,687.4918,667.2608
1,529.7292,500.7075,128,47.5079,50.3289,1077.8219,698.6644,667.272
1,527.0342,496.0584,128,38.0789,52.3927,1082.6713,688.7126,662.0612
1,517.7065,487.001,128,36.0555,49.93,1079.5393,694.5056,664.5668
1,519.8356,496.7786,128,44.5533,50.1199,1059.2247,696.3519,655.6295
1,531.512,495.2131,128,43.6578,50.01,1076.485,697.9749,658.4717
1,516.7301,491.6147,128,31.0484,50.2195,1093.2849,682.7979,668.923
1,520.7552,500.3488,128,42.9535,47.8539,1073.6266,688.0181,666.9722
1,514.4366,495.997,128,47.0106,45.5412,1075.6752,693.2085,666.337
1,502.7654,477.9037,128,31.1448,50,1075.4246,696.2083,665.5862
1,532.2189,503.1153,128,48.7545,52.0096,1064.6525,696.5264,653.1501
1,499.985,479.901,128,29.1548,50.2494,1087.1766,691.3096,670.9813
1,534.1507,498.8436,128,47.7598,48,1075.5487,692.9423,651.3448
1,491.1385,490.099,128,38.8973,51,1076.9629,682.4023,667.72
1,499.5448,479.2672,128,34.8855,44.9222,1068.0791,689.3424,667.3298
1,497.8213,477.9424,128,30.1496,46.4004,1082.5253,689.8297,661.8527
1,528.5925,492.4033,128,49.0918,45.8803,1050.467,692.8391,656.6011
1,509.0324,489.5468,128,38.4708,48.3736,1081.505,683.4947,666.8111
1,529.8339,507.1686,128,49,50.2494,1064.6399,697.7485,657.8427
1,501.4828,486.3096,128,37,56.6127,1083.2751,681.3494,668.1796
1,499.3846,478.0889,128,32.8938,54.4243,1089.7949,681.8482,675.4502
1,526.1578,491.0652,128,42.7551,50.2195,1072.9138,689.5593,661.1543
1,503.5008,477.3772,128,26.0768,43.566,1080.8145,691.0723,665.1677
1,520.0346,490.6496,128,32.7567,50.2892,1073.9576,690.814,652.1848
1,530.348,495.4291,128,46.2277,48.0104,1066.9231,697.9341,656.6171
1,540.8262,496.7343,128,46.6476,53.2353,1066.1005,690.1724,662.3994
1,507.3943,478.2238,128,46.3897,54.8179,1078.0742,678.1224,672.1078
1,525.8184,496.2267,128,34.2345,52.3259,1076.179,690.0587,654.4005
1,515.7955,464.097,128,35.3553,48.4149,1068.3506,683.2115,665.9767
1,503.1779,478.8998,128,39.3573,47.4342,1074.002,689.6724,662.834
1,501.3033,490.1959,128,36.6742,50.6952,1079.913,686.9272,661.1543
1,495.8407,498.7685,128,36.3593,48.9183,1074.2424,670.3268,667.066
1,528.5121,513.1403,128,46.2277,53.3385,1057.3197,694.0411,653.2878
1,506.4632,502.6987,128,32.3883,44.5982,1063.9858,693.2712,656.8439
1,523.0688,516.2363,128,32.3883,56.8595,1074.3394,688.0443,652.5534
1,513.1569,505.6926,128,35,49.5782,1055.8716,692.0188,646.5052
1,522.8001,521.1238,128,43.566,51.4782,1059.465,691.2547,647.4264
1,511.1732,511.2514,128,40.4969,58.6686,1069.2937,683.3864,657.28
1,525.2142,510.7034,128,39.8246,46.0109,1046.8032,685.6129,640.9633
1,494,488.8537,128,37.6431,48.4149,1090.8024,683.6702,660.9145
1,525.0905,500.189,128,45.2769,52.0096,1066.9508,694.2334,666.487
1,515.7131,488.1731,128,40,47.2652,1068.8685,691.7492,656.2469
1,511.0969,498.8386,128,44.3847,53.7122,1083.3582,687.1652,672.6909
1,530.9473,498.3813,128,44.3847,50.8035,1061.8309,700.4891,646.6931
1,507.4426,484.4554,128,32.6497,47.4131,1069.7598,692.4464,655.7874
1,500.5008,482.1141,128,32.2025,45.1774,1084.9147,680.053,672.4768
1,528.9159,495.9486,128,48.1664,48.3839,1069.0126,690.7532,658.4011
1,521.5842,494.7505,128,41,51.8652,1080.0004,691.348,656.6125
1,489.6631,485.0618,128,35.2278,52.9245,1075.7816,686.161,661.118
1,504.1201,493.6112,128,51.923,48.6004,1071.5858,686.7504,665.2195
1,508.3877,500.7165,128,39.3192,50,1064.8427,690.4274,665.6005
1,521.9732,498.4957,128,38.2753,58.0517,1086.139,693.8826,666.52
1,490.7189,489.3884,128,41,55.7584,1076.3057,684.0146,679.1708
1,516.5123,485.1237,128,41.2311,56.3205,1059.0298,683.9795,659.2026
1,515.873,491.8089,128,33.9706,45.1774,1059.2341,691.4014,652.6944
1,509.7617,490.89,128,33.0151,55.4617,1088.2914,680.8495,676.5153
1,510.2166,484.5142,128,35.1283,46.2385,1081.1567,693.6195,648.6332
1,517.3799,497.2294,128,40.1622,49.0408,1064.9489,693.2604,655.2167
1,517.3481,502.3117,128,37.1618,57.2189,1078.3136,688.077,663.5096
1,511.6737,499.4177,128,42.5206,46.2709,1080.4282,677.7197,670.3506
1,522.5514,488.554,128,31.257,54.4059,1073.1249,697.1406,654.9297
1,517.9421,500.6246,128,48.8467,49.98,1067.4315,695.7162,652.9663
1,527.2741,499.7999,128,46.0109,47.7598,1062.7742,696.5092,654.4409
